"","continent_level","date","cases","new_cases","deaths","new_deaths","days_since_death10","days_since_case100","continent"
"80","Asia",2020-01-29,6143,585,133,2,8,8,"Asia"
"81","Asia",2020-01-30,8208,2065,171,38,9,9,"Asia"
"82","Asia",2020-01-31,9889,1681,213,42,10,10,"Asia"
"83","Asia",2020-02-01,11991,2102,259,46,11,11,"Asia"
"84","Asia",2020-02-02,16738,4747,362,103,12,12,"Asia"
"85","Asia",2020-02-03,19827,3089,426,64,13,13,"Asia"
"86","Asia",2020-02-04,23836,4009,492,66,14,14,"Asia"
"87","Asia",2020-02-05,27578,3742,564,72,15,15,"Asia"
"88","Asia",2020-02-06,30736,3158,634,70,16,16,"Asia"
"89","Asia",2020-02-07,34266,3530,719,85,17,17,"Asia"
"90","Asia",2020-02-08,36990,2724,806,87,18,18,"Asia"
"91","Asia",2020-02-09,40015,3025,906,100,19,19,"Asia"
"92","Asia",2020-02-10,42551,2536,1013,107,20,20,"Asia"
"93","Asia",2020-02-11,44588,2037,1113,100,21,21,"Asia"
"94","Asia",2020-02-12,44966,378,1118,5,22,22,"Asia"
"95","Asia",2020-02-13,60112,15146,1371,253,23,23,"Asia"
"96","Asia",2020-02-14,66585,6473,1523,152,24,24,"Asia"
"97","Asia",2020-02-15,68662,2077,1665,142,25,25,"Asia"
"98","Asia",2020-02-16,70786,2124,1769,104,26,26,"Asia"
"99","Asia",2020-02-17,72720,1934,1867,98,27,27,"Asia"
"100","Asia",2020-02-18,74510,1790,2006,139,28,28,"Asia"
"101","Asia",2020-02-19,74934,424,2121,115,29,29,"Asia"
"102","Asia",2020-02-20,75479,545,2244,123,30,30,"Asia"
"103","Asia",2020-02-21,76081,602,2247,3,31,31,"Asia"
"104","Asia",2020-02-22,77792,1711,2453,206,32,32,"Asia"
"105","Asia",2020-02-23,78028,236,2462,9,33,33,"Asia"
"106","Asia",2020-02-24,78516,488,2618,156,34,34,"Asia"
"107","Asia",2020-02-25,79255,739,2694,76,35,35,"Asia"
"108","Asia",2020-02-26,80056,801,2752,58,36,36,"Asia"
"109","Asia",2020-02-27,81147,1091,2791,39,37,37,"Asia"
"110","Asia",2020-02-28,82218,1071,2843,52,38,38,"Asia"
"111","Asia",2020-02-29,83717,1499,2903,60,39,39,"Asia"
"112","Asia",2020-03-01,85317,1600,2952,49,40,40,"Asia"
"113","Asia",2020-03-02,86693,1376,3017,65,41,41,"Asia"
"114","Asia",2020-03-03,88559,1866,3061,44,42,42,"Asia"
"115","Asia",2020-03-04,89793,1234,3121,60,43,43,"Asia"
"116","Asia",2020-03-05,91074,1281,3168,47,44,44,"Asia"
"117","Asia",2020-03-06,93117,2043,3222,54,45,45,"Asia"
"118","Asia",2020-03-07,94864,1747,3274,52,46,46,"Asia"
"119","Asia",2020-03-08,96085,1221,3359,85,47,47,"Asia"
"120","Asia",2020-03-09,96958,873,3432,73,48,48,"Asia"
"121","Asia",2020-03-10,98152,1194,3505,73,49,49,"Asia"
"122","Asia",2020-03-11,99909,1757,3605,100,50,50,"Asia"
"123","Asia",2020-03-12,101204,1295,3700,95,51,51,"Asia"
"124","Asia",2020-03-13,103049,1845,3805,105,52,52,"Asia"
"125","Asia",2020-03-14,104953,1904,3929,124,53,53,"Asia"
"126","Asia",2020-03-15,106893,1940,4058,129,54,54,"Asia"
"127","Asia",2020-03-16,108516,1623,4208,150,55,55,"Asia"
"128","Asia",2020-03-17,110523,2007,4369,161,56,56,"Asia"
"129","Asia",2020-03-18,112518,1995,4553,184,57,57,"Asia"
"130","Asia",2020-03-19,114868,2350,4728,177,58,58,"Asia"
"131","Asia",2020-03-20,117232,2364,4910,182,59,59,"Asia"
"132","Asia",2020-03-21,119946,2714,5062,156,60,60,"Asia"
"133","Asia",2020-03-22,123121,3175,5274,212,61,61,"Asia"
"134","Asia",2020-03-23,126198,3077,5430,156,62,62,"Asia"
"135","Asia",2020-03-24,129912,3714,5599,169,63,63,"Asia"
"136","Asia",2020-03-25,135285,5373,5793,194,64,64,"Asia"
"137","Asia",2020-03-26,140761,5476,6035,242,65,65,"Asia"
"138","Asia",2020-03-27,147803,7042,6247,212,66,66,"Asia"
"139","Asia",2020-03-28,155138,7335,6457,210,67,67,"Asia"
"140","Asia",2020-03-29,162449,7311,6663,206,68,68,"Asia"
"141","Asia",2020-03-30,169434,6985,6873,210,69,69,"Asia"
"142","Asia",2020-03-31,178191,8757,7123,250,70,70,"Asia"
"143","Asia",2020-04-01,186678,8487,7414,291,71,71,"Asia"
"144","Asia",2020-04-02,195929,9251,7712,298,72,72,"Asia"
"145","Asia",2020-04-03,204535,8606,7993,281,73,73,"Asia"
"146","Asia",2020-04-04,213450,8915,8304,312,74,74,"Asia"
"147","Asia",2020-04-05,222754,9304,8600,296,75,75,"Asia"
"148","Asia",2020-04-06,233381,10627,8922,322,76,76,"Asia"
"149","Asia",2020-04-07,242833,9452,9217,295,77,77,"Asia"
"150","Asia",2020-04-08,252374,9541,9518,301,78,78,"Asia"
"151","Asia",2020-04-09,262652,10278,9880,362,79,79,"Asia"
"152","Asia",2020-04-10,273968,11316,10211,331,80,80,"Asia"
"153","Asia",2020-04-11,285840,11872,10578,367,81,81,"Asia"
