"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"7652","South Sudan",2020-04-21,91,4,0,0,0,0,0,4,0,0,0,0,0
"7703","Spain",2020-04-21,91,204178,3968,21282,430,82514,1927,100382,436.7,8.5,214.7,51,46
"7748","Sri Lanka",2020-04-21,91,310,6,7,0,102,4,201,1.4,0,0.9,29,0
"7838","Sudan",2020-04-21,91,107,0,12,0,8,0,87,0.2,0,0.2,2,4
"7871","Suriname",2020-04-21,91,10,0,1,0,6,0,3,1.7,0,0.5,0,0
"7989","Sweden",2020-04-21,91,15322,545,1765,185,550,0,13007,151.7,5.4,128.8,47,35
"8026","Switzerland",2020-04-21,91,28063,119,1478,49,19400,800,7185,324.2,1.4,83,48,40
"8073","Syria",2020-04-21,91,42,3,3,0,6,1,33,0.2,0,0.2,0,0
"8162","Taiwan",2020-04-21,91,425,3,6,0,217,14,202,1.8,0,0.8,35,0
"8189","Tanzania, United Republic of",2020-04-21,91,254,0,10,0,11,0,233,0.4,0,0.4,5,2
"8217","Thailand",2020-04-21,91,2811,19,48,1,2108,109,655,4,0,0.9,38,22
"8334","The Bahamas",2020-04-21,91,65,5,9,0,12,1,44,16.5,1.3,11.2,0,0
"8354","The Gambia",2020-04-21,91,10,0,1,0,2,0,7,0.4,0,0.3,0,0
"8390","Timor-Leste",2020-04-21,91,23,1,0,0,1,0,22,1.7,0.1,1.7,0,0
"8405","Togo",2020-04-21,91,86,2,6,0,56,3,24,1,0,0.3,0,0
"8484","Trinidad and Tobago",2020-04-21,91,115,1,8,0,28,6,79,8.2,0.1,5.6,18,0
"8502","Tunisia",2020-04-21,91,884,0,38,0,148,0,698,7.5,0,5.9,29,22
"8561","Turkey",2020-04-21,91,95591,4611,2259,119,14918,1488,78414,113.3,5.5,93,34,31
"8602","Uganda",2020-04-21,91,61,5,0,0,38,0,23,0.1,0,0.1,0,0
"8676","UK",2020-04-21,91,130172,4316,17378,828,638,192,112156,191.8,6.4,165.2,48,39
"8742","Ukraine",2020-04-21,91,6125,415,161,10,367,8,5597,14,0.9,12.8,28,24
"8815","United Arab Emirates",2020-04-21,91,7755,490,46,3,1443,83,6266,78.4,5,63.4,35,18
"8856","Uruguay",2020-04-21,91,535,0,11,1,313,0,211,15.4,0,6.1,32,3
"8942","USA",2020-04-21,91,823786,39460,44845,2751,75204,2875,703737,248.9,11.9,212.6,50,49
"8980","Uzbekistan",2020-04-21,91,1678,51,6,1,357,96,1315,5,0.2,3.9,25,0
"8997","Venezuela",2020-04-21,91,285,29,10,1,117,0,158,1,0.1,0.6,27,1
"9071","Vietnam",2020-04-21,91,268,0,0,0,216,2,52,0.3,0,0.1,31,0
"9150","West Bank and Gaza",2020-04-21,91,466,17,4,1,71,0,391,9.7,0.4,8.1,24,0
"9174","Western Sahara",2020-04-21,91,6,0,0,0,0,0,6,1,0,1,0,0
"9201","Yemen",2020-04-21,91,1,0,0,0,0,0,1,0,0,0,0,0
"9216","Zambia",2020-04-21,91,70,5,3,0,35,0,32,0.4,0,0.2,0,0
"9253","Zimbabwe",2020-04-21,91,28,3,3,0,2,0,23,0.2,0,0.2,0,0
